Script started on 2025-12-26 14:23:58+07:00 [TERM="xterm-256color" TTY="/dev/pts/3" COLUMNS="141" LINES="36"]
[?2004h]0;gpm@codeby: ~/lesson4[01;32mgpm@codeby[00m:[01;34m~/lesson4[00m$ ps aux [K
[?2004lUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.3  24324 13976 ?        Ss   Dec25   0:04 /sbin/init
gpm         2081  0.1  0.9 165708 38664 ?        Sl   Dec25   1:17 /usr/bin/vmtoolsd -n vmusr --blockFd 3 --uinputFd 4
gpm         2082  0.0  2.3 1063364 94968 ?       Sl   Dec25   0:58 /usr/bin/gnome-software --gapplication-service
gpm         2086  0.0  0.2 408152 11268 ?        Ssl  Dec25   0:00 /usr/libexec/gsd-wacom
gpm         2104  0.0  0.1 306224  5864 ?        Sl   Dec25   0:00 /usr/libexec/gsd-disk-utility-notify
gpm         2117  0.0  0.9 1071564 37148 ?       Sl   Dec25   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
gpm         2265  0.0  0.4 2731232 16228 ?       Sl   Dec25   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
gpm         2266  0.0  0.2 413292 10476 ?        Sl   Dec25   0:00 /usr/libexec/gsd-printer
gpm         2303  0.0  0.1 242992  6376 ?        Sl   Dec25   0:00 /usr/libexec/ibus-dconf
gpm         2304  0.0  0.5 417044 21988 ?        Sl   Dec25   0:07 /usr/libexec/ibus-extension-gtk3
gpm         2306  0.0  0.1 308504  6924 ?        Sl   Dec25   0:00 /usr/libexec/ibus-portal
gpm         2321  0.0  0.5 260292 21412 ?        S    Dec25   0:01 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/100
gpm         2324  0.0  0.2 390996  9240 ?        Ssl  Dec25   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
gpm         2330  0.0  0.1 308832  6112 ?        Ssl  Dec25   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
gpm         2336  0.0  0.1 307792  6308 ?        Ssl  Dec25   0:00 /usr/libexec/gvfs-goa-volume-monitor
gpm         2345  0.0  0.3 517676 13828 ?        Sl   Dec25   0:00 /usr/libexec/goa-daemon
gpm         2357  0.0  0.1 387664  7744 ?        Sl   Dec25   0:00 /usr/libexec/goa-identity-service
gpm         2365  0.0  0.4 1368768 16252 ?       Ssl  Dec25   0:00 /usr/libexec/evolution-calendar-factory
gpm         2366  0.0  0.1 307880  6196 ?        Ssl  Dec25   0:00 /usr/libexec/gvfs-mtp-volume-monitor
gpm         2372  0.0  0.1 389996  7604 ?        Ssl  Dec25   0:02 /usr/libexec/gvfs-afc-volume-monitor
gpm         2381  0.0  0.1 169412  7188 ?        Sl   Dec25   0:24 /usr/libexec/ibus-engine-simple
gpm         2397  0.0  0.4 860360 18928 ?        Ssl  Dec25   0:00 /usr/libexec/evolution-addressbook-factory
gpm         2445  0.0  0.4 778172 16240 ?        Ssl  Dec25   0:02 /usr/libexec/xdg-desktop-portal
gpm         2446  0.0  0.5 882112 23656 ?        SNsl Dec25   0:01 /usr/libexec/localsearch-3
gpm         2452  0.0  0.1 613408  6508 ?        Ssl  Dec25   0:00 /usr/libexec/xdg-document-portal
root        2458  0.0  0.0   2584  1780 ?        Ss   Dec25   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -
